name+A1:Y1,elevation,geometry,UTM_Easting,UTM_Northing,Species name (scientific),Common name (local),Phenology,Type of stem,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C,Wood density (g/cm3),Wood density (kg/m3),Tree Height,DBH,Biomass,Carbon
B207,1528.611,POINT (37.013761 -1.100767),278977.3043,9878258.403,Pterocarya stenoptera,Wingnut,Mature,straight,1.65,,,,,,,,,,,1.65,0.5,500,12.4,0.525211312,79.96099766,37.5816689
B208,1527.938,POINT (37.013948 -1.100767),278998.1215,9878258.417,Grevillea robusta,silk oak,Mature,straight,1.5,,,,,,,,,,,1.5,0.61,610,12.4,0.477464829,80.60590851,37.884777
B209,1528.238,POINT (37.014294 -1.100596),279036.6262,9878277.354,Albizia gummifera,Siris,Mature,straight,0.94,,,,,,,,,,,0.94,0.51,510,7.8,0.299211293,17.28994655,8.126274878
B210,1533.353,POINT (37.014345 -1.101432),279042.3652,9878184.899,Pterocarya stenoptera,Wingnut,Mature,straight,2.8,,,,,,,,,,,2.8,0.5,500,12,0.891267681,217.4219336,102.1883088
B211,1530.339,POINT (37.014342 -1.10111),279042.0076,9878220.511,Corymbia citriodora,Lemon-scented gum,Mature,straight,1.18,,,,,,,,,,,1.18,0.756,756,21.6,0.375605666,106.9431738,50.2632917
B212,1530.697,POINT (37.014609 -1.100988),279071.7215,9878234.024,Pinus sabiniana,gray pine,Mature,slanted,0.74,,,,,,,,,,,0.74,0.42,420,12.5,0.235549316,14.20990107,6.678653501
B213,1528.331,POINT (37.014855 -1.100635),279099.0806,9878273.083,Pterocarya stenoptera,Wingnut,Mature,straight,0.66,,,,,,,,,,,0.66,0.5,500,8,0.210084525,8.71636826,4.096693082
B214,1527.304,POINT (37.014972 -1.100527),279112.0973,9878285.036,Acacia dealbata,Silver wattle,Mature,straight,0.33,,,,,,,,,,,0.33,0.65,650,5,0.105042262,1.83955435,0.864590545
B215,1532.009,POINT (37.014724 -1.100544),279084.4908,9878283.137,Grevillea robusta,silk oak,Mature,straight,1,,,,,,,,,,,1,0.61,610,15.2,0.318309886,44.5591109,20.94278213
B216,1532.745,POINT (37.015007 -1.099823),279115.9418,9878362.899,Callistemon citrinus,crimson bottlebrush,Mature,straight,0.55,,,,,,,,,,,0.55,0.65,650,8.5,0.175070437,8.36911493,3.933484017
B217,1532.572,POINT (37.015269 -1.100086),279145.1274,9878333.831,Caesuarina equisetifolia,Beach Sheoak,Mature,Forked,1.23,0.22,0.13,,,,,,,,,1.256264303,0.83,830,15.3,0.399881347,94.54976641,44.43839021
B218,1540.457,POINT (37.015645 -1.099478),279186.9397,9878401.102,Vachelia farnesiana,Sweet Acacia,Mature,straight,1.47,,,,,,,,,,,1.47,0.77,770,13.2,0.467915533,103.3888725,48.59277005
B219,1531.897,POINT (37.015786 -1.099326),279202.6249,9878417.923,Grevillea robusta,silk oak,Mature,straight,0.78,,,,,,,,,,,0.78,0.61,610,12.2,0.248281711,22.13670787,10.4042527
B220,1534.957,POINT (37.015719 -1.098652),279195.1168,9878492.461,Ficus macrocarpa,common fig,Mature,straight,1.9,,,,,,,,,,,1.9,0.65,650,19.9,0.604788784,215.867034,101.457506
B221,1533.105,POINT (37.014882 -1.098599),279101.9365,9878498.261,Acacia dealbata,Silver wattle,Mature,straight,1.82,,,,,,,,,,,1.82,0.65,650,16.7,0.579323993,167.2666342,78.61531806
B222,1528.076,POINT (37.014875 -1.099188),279101.2006,9878433.118,Acacia dealbata,Silver wattle,Mature,straight,2.43,,,,,,,,,,,2.43,0.65,650,22,0.773493023,384.845732,180.877494
B223,1530.477,POINT (37.014486 -1.098841),279057.8709,9878471.467,Corymbia citriodora,Lemon-scented gum,Mature,straight,2.03,,,,,,,,,,,2.03,0.756,756,30.3,0.646169069,429.0745941,201.6650592
B224,1529.829,POINT (37.01353 -1.098631),278951.4317,9878494.621,Corymbia citriodora,Lemon-scented gum,Mature,straight,2.18,,,,,,,,,,,2.18,0.756,756,22.7,0.693915552,372.0153338,174.8472069
B225,1521.066,POINT (37.013415 -1.099826),278938.7176,9878362.449,Pterocarya stenoptera,Wingnut,Mature,straight,0.82,,,,,,,,,,,0.82,0.5,500,16.5,0.261014107,26.98975555,12.68518511
B226,1531.311,POINT (37.013255 -1.100307),278920.9415,9878309.24,Corymbia citriodora,Lemon-scented gum,Mature,straight,0.18,,,,,,,,,,,0.18,0.756,756,10.3,0.05729578,1.322006521,0.621343065
B227,1531.294,POINT (37.012954 -1.099696),278887.3886,9878376.793,Robinia pseudoacacia,Not Found,Mature,Forked,1.65,1.17,,,,,,,,,,2.02272094,0.711,711,21.5,0.643852072,287.1090867,134.9412708
B228,1527.325,POINT (37.014302 -1.099764),279037.4556,9878369.372,Corymbia citriodora,Lemon-scented gum,Mature,straight,1.61,,,,,,,,,,,1.61,0.756,756,17.4,0.512478917,158.8227478,74.64669147
B229,1529.263,POINT (37.014491 -1.100035),279058.5153,9878339.414,Corymbia citriodora,Lemon-scented gum,Mature,straight,3.23,,,,,,,,,,,3.23,0.756,756,24.1,1.028140932,849.6195276,399.321178
B230,1534.25,POINT (37.013159 -1.099272),278910.1784,9878423.701,Corymbia citriodora,Lemon-scented gum,Mature,straight,1.79,,,,,,,,,,,1.79,0.756,756,22.7,0.569774696,253.199522,119.0037753
B231,1532.812,POINT (37.012685 -1.099101),278857.3992,9878442.578,Corymbia citriodora,Lemon-scented gum,Mature,straight,1.68,,,,,,,,,,,1.68,0.756,756,18.1,0.534760609,179.3537808,84.29627698
B232,1526.559,POINT (37.012644 -1.098749),278852.8091,9878481.505,Vachelia farnesiana,Sweet Acacia,Mature,straight,1.22,,,,,,,,,,,1.22,0.77,770,12.6,0.388338061,68.66354874,32.27186791
B233,1531.267,POINT (37.013811 -1.09781),278982.6528,9878585.443,Corymbia citriodora,Lemon-scented gum,Mature,straight,1.45,,,,,,,,,,,1.45,0.756,756,25.7,0.461549335,189.4513034,89.04211261
B234,1529.345,POINT (37.014406 -1.097605),279048.8743,9878608.159,Caesuarina equisetifolia,Beach Sheoak,Mature,straight,1.45,,,,,,,,,,,1.45,0.83,830,16.4,0.461549335,133.866963,62.91747259
B235,1524.001,POINT (37.01372 -1.096928),278972.4577,9878682.983,Acacia dealbata,Silver wattle,Mature,Forked,0.28,0.26,0.23,0.64,,,,,,,,0.7800641,0.65,650,9.9,0.248302115,19.21130962,9.029315523
B236,1518.823,POINT (37.013535 -1.097285),278951.8894,9878643.486,Grevillea robusta,silk oak,Mature,straight,0.37,,,,,,,,,,,0.37,0.61,610,6,0.117774658,2.582632203,1.213837135
