name+A1:Y1,elevation,geometry,UTM_Easting,UTM_Northing,Species name (scientific),Common name (local),Phenology,Type of stem,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C,Wood density (g/cm3),Wood density (kg/m3),Tree Height,DBH,Biomass,Carbon
B68,1543.664,POINT (37.009016 -1.083738),278447.8333,9880141.417,Vachelia cornigera,Swollen thorn tree,Young,Forked,0.17,0.12,,,,,,,,,,0.20808652,0.75,750,3.4,0.066235997,0.590161214,0.277375771
B69,1542.69,POINT (37.008731 -1.083743),278416.1067,9880140.843,Vachelia cornigera,Swollen thorn tree,Mature,straight,0.29,,,,,,,,,,,0.29,0.75,750,6.6,0.092309867,2.155315353,1.012998216
B70,1528.401,POINT (37.009094 -1.084105),278456.5432,9880100.834,Dichrostachys cinerea,aroma,Mature,Forked,0.49,0.6,,,,,,,,,,0.774661216,0.81,810,9.6,0.246582324,22.79815066,10.71513081
B72,1541.358,POINT (37.007881 -1.084423),278321.5317,9880065.575,Albizia julibrissin,Persian silk tree,Mature,straight,1.44,,,,,,,,,,,1.44,0.55,550,15,0.458366236,81.01359314,38.07638877
B73,1542.661,POINT (37.008323 -1.084743),278370.7597,9880030.216,Corymbia citriodora,Lemon-scented gum,Mature,straight,0.8,,,,,,,,,,,0.8,0.756,756,21.5,0.254647909,49.85447193,23.43160181
B74,1542.181,POINT (37.00893 -1.084732),278438.3319,9880031.477,Grevillea robusta,silk oak,Mature,straight,0.55,,,,,,,,,,,0.55,0.61,610,7.4,0.175070437,6.870926483,3.229335447
B75,1540.998,POINT (37.009357 -1.08467),278485.8622,9880038.365,Ulmus crassifiola,Cedar elm,Mature,straight,0.54,,,,,,,,,,,0.54,0.6,600,7.3,0.171887339,6.437045956,3.025411599
B76,1537.26,POINT (37.009716 -1.084765),278525.8339,9880027.885,Vachelia farnesiana,Sweet Acacia,Mature,Forked,0.7,0.88,,,,,,,,,,1.124455424,0.77,770,6.4,0.357925278,30.231599,14.20885153
B77,1544.717,POINT (37.010056 -1.084406),278563.6575,9880067.614,Agava sisalana,Sisal,Mature,straight,0.23,,,,,,,,,,,0.23,0.65,650,7.1,0.073211274,1.280264133,0.601724143
B78,1540.016,POINT (37.010342 -1.084454),278595.4993,9880062.326,Populus alba,white poplar,Mature,Multi-stemmed,0.4,0.31,0.52,0.12,0.35,,,,,,,0.814493708,0.4,400,11.7,0.259261399,15.31750616,7.199227894
B79,1541.049,POINT (37.010474 -1.083822),278610.148,9880132.234,Jacaranda mimosifolia,blue jacaranda,Mature,Forked,0.53,0.51,,,,,,,,,,0.735527022,0.55,550,7.2,0.234125523,10.6641511,5.012151016
B80,1530.097,POINT (37.01018 -1.085433),278577.5363,9879954.04,Vachelia farnesiana,Sweet Acacia,Mature,straight,0.87,,,,,,,,,,,0.87,0.77,770,9.6,0.276929601,27.21626399,12.79164407
B81,1535.944,POINT (37.010758 -1.085909),278641.9154,9879901.437,Grevillea robusta,silk oak,Mature,straight,0.7,,,,,,,,,,,0.7,0.61,610,10.5,0.22281692,15.47994111,7.275572321
B82,1543.353,POINT (37.011156 -1.085571),278686.1972,9879938.849,Dichrostachys cinerea,aroma,Mature,Forked,0.21,0.25,0.21,,,,,,,,,0.388200979,0.81,810,5.6,0.123568209,3.497250015,1.643707507
B83,1537.95,POINT (37.011454 -1.085126),278719.339,9879988.086,Cordia sebestena,Scarlet Cordia,Young,Forked,0.19,0.08,,,,,,,,,,0.206155281,0.8,800,3.7,0.065621264,0.670291266,0.315036895
B84,1538.175,POINT (37.01124 -1.084449),278695.4667,9880062.945,Vachelia farnesiana,Sweet Acacia,Young,Forked,0.25,0.21,,,,,,,,,,0.326496554,0.77,770,4.5,0.103927081,1.917858885,0.901393676
B85,1536.745,POINT (37.011512 -1.084134),278725.7236,9880097.803,Dichrostachys cinerea,aroma,Young,straight,0.21,,,,,,,,,,,0.21,0.81,810,4.4,0.066845076,0.832987548,0.391504147
B86,1538.563,POINT (37.011106 -1.083775),278680.5005,9880137.478,Vachelia farnesiana,Sweet Acacia,Mature,straight,0.23,0.15,0.2,0.21,0.32,0.14,0.29,0.31,0.2,0.34,0.22,0.815904406,0.77,770,5.9,0.259710439,14.930063,7.017129608
B88,1534.638,POINT (37.011697 -1.083365),278746.2624,9880182.866,Grevillea robusta,silk oak,Mature,Multi-stemmed,0.29,0.36,,,,,,,,,,0.462276973,0.61,610,9.2,0.147147331,6.053454884,2.845123795
B87,1538.992,POINT (37.012613 -1.084495),278848.3159,9880057.958,Tsuga canadensis,eastern hemlock,Mature,straight,1.5,,,,,,,,,,,1.5,0.4,400,17.2,0.477464829,73.4838174,34.53739418
B89,1536.658,POINT (37.01262 -1.085009),278849.1325,9880001.111,Albizia julibrissin,Persian silk tree,Young,Forked,0.63,0.66,,,,,,,,,,0.91241438,0.55,550,4.6,0.290430517,10.48856091,4.929623627
B90,1533.372,POINT (37.011731 -1.085534),278750.205,9879942.983,Acacia dealbata,Silver wattle,Young,straight,0.56,,,,,,,,,,,0.56,0.65,650,2.7,0.178253536,2.830432184,1.330303126
B91,1533.391,POINT (37.011177 -1.08642),278688.5968,9879844.953,Quercus macrocarpa,oak,Mature,Forked,0.25,0.95,0.9,,,,,,,,,1.332291259,0.72,720,11.7,0.424081479,71.03931588,33.38847846
B92,1535.153,POINT (37.011571 -1.086919),278732.4942,9879789.794,Vachelia farnesiana,Sweet Acacia,Mature,straight,0.61,,,,,,,,,,,0.61,0.77,770,7.1,0.194169031,10.13869812,4.765188119
B93,1532.779,POINT (37.01187 -1.087081),278765.7914,9879771.899,Quercus macrocarpa,oak,Mature,straight,0.52,0.43,,,,,,,,,,0.674759216,0.72,720,8.6,0.214782529,13.94121955,6.552373189
B94,1533.058,POINT (37.012065 -1.087583),278787.5359,9879716.393,Prosopis laevigata,Smooth Mesquite,Mature,straight,0.72,0.83,,,,,,,,,,1.098772042,0.85,850,6.5,0.349750004,32.31046444,15.18591829
B95,1534.273,POINT (37.012387 -1.087836),278823.4001,9879688.436,Quercus macrocarpa,oak,Mature,straight,0.39,0.44,,,,,,,,,,0.587962584,0.72,720,5.5,0.187154303,6.888050962,3.237383952
B96,1536.352,POINT (37.013157 -1.087732),278909.1108,9879699.994,Vachelia farnesiana,Sweet Acacia,Mature,straight,0.22,0.17,,,,,,,,,,0.278028775,0.77,770,5.2,0.088499308,1.613885259,0.758526072
B97,1535.888,POINT (37.013624 -1.087342),278961.0699,9879743.161,Gleditsia triacanthos,honey locust,Mature,Forked,0.29,0.7,0.19,,,,,,,,,0.781152994,0.6,600,9.3,0.248648721,16.76143149,7.877872801
B98,1535.757,POINT (37.013385 -1.086746),278934.4205,9879809.06,Vachelia farnesiana,Sweet Acacia,Young,Forked,0.43,0.19,0.25,,,,,,,,,0.53244718,0.77,770,4.7,0.169483201,5.198158302,2.443134402
B99,1532.874,POINT (37.012788 -1.085987),278867.9058,9879892.96,Vachelia farnesiana,Sweet Acacia,Mature,straight,0.72,0.58,,,,,,,,,,0.924553947,0.77,770,8.1,0.294294661,25.96398481,12.20307286
B100,1532.68,POINT (37.012583 -1.08542),278845.0435,9879955.653,Ulmus thomasi,rock elm,Mature,straight,0.32,0.54,,,,,,,,,,0.627694193,0.55,550,7.8,0.199801267,8.461705096,3.977001395
B101,1530.869,POINT (37.013609 -1.085636),278959.276,9879931.839,Taxodium distichum,baldcypress,Mature,straight,0.5,,,,,,,,,,,0.5,0.46,460,10.8,0.159154943,6.263800735,2.943986346
B102,1528.464,POINT (37.014065 -1.086111),279010.0736,9879879.339,Terminalia catappa,Sea Almond,Mature,straight,0.24,,,,,,,,,,,0.24,0.8,800,6.3,0.076394373,1.516071931,0.712553808
B103,1530.499,POINT (37.014351 -1.086393),279041.9323,9879848.171,Acacia dealbata,Silver wattle,Young,straight,0.1,,,,,,,,,,,0.1,0.65,650,2.2,0.031830989,0.080275541,0.037729504
B104,1530.866,POINT (37.014181 -1.086811),279023.0379,9879801.929,Prunus arneniaca,Apricot,Mature,Forked,0.47,0.78,0.73,,,,,,,,,1.16713324,0.6,600,8.8,0.371510049,34.77643505,16.34492447
B106,1530.517,POINT (37.017203 -1.090186),279359.6991,9879428.885,Cordia africana,East African Cordia,Mature,straight,0.57,,,,,,,,,,,0.57,0.55,550,6.8,0.181436635,6.131484826,2.881797868
B107,1533.689,POINT (37.017512 -1.090574),279394.1259,9879385.996,Vachelia farnesiana,Sweet Acacia,Mature,slanted,0.21,,,,,,,,,,,0.21,0.77,770,7,0.066845076,1.247320193,0.586240491
B108,1534.271,POINT (37.018101 -1.090963),279459.7229,9879343.017,Pithecellobium dulca,Manila Tamarind,Mature,straight,2.23,,,,,,,,,,,2.23,0.67,670,14,0.709831046,215.6434737,101.3524326
B109,1531.358,POINT (37.019134 -1.091945),279574.7899,9879234.487,Vachelia farnesiana,Sweet Acacia,Mature,straight,1.04,,,,,,,,,,,1.04,0.77,770,16,0.331042282,63.48343042,29.8372123
B110,1533.742,POINT (37.019818 -1.092832),279650.9987,9879136.438,Coccoloba uvifera,sea grape,Mature,straight,0.54,,,,,,,,,,,0.54,0.56,560,10.8,0.171887339,8.8198455,4.145327385
B111,1529.941,POINT (37.019406 -1.093705),279605.1979,9879039.856,Bridella tomentosa,Blume,Mature,straight,0.74,,,,,,,,,,,0.74,0.68,680,14,0.235549316,25.40184348,11.93886644
B112,1529.05,POINT (37.018748 -1.094706),279532.0213,9878929.1,Caesuarina equisetifolia,Beach Sheoak,Mature,straight,2.04,,,,,,,,,,,2.04,0.83,830,32.4,0.649352168,506.6236874,238.1131331
B113,1535.059,POINT (37.018948 -1.093926),279554.2286,9879015.381,Grevillea robusta,silk oak,Mature,straight,0.57,,,,,,,,,,,0.57,0.61,610,11.8,0.181436635,11.61667214,5.459835904
B114,1534.107,POINT (37.018131 -1.093961),279463.2813,9879011.45,Vachelia farnesiana,Sweet Acacia,Mature,straight,1.49,,,,,,,,,,,1.49,0.77,770,14.3,0.47428173,114.7777672,53.94555057
B115,1536.291,POINT (37.017438 -1.091781),279385.9761,9879252.5,Jacaranda mimosifolia,blue jacaranda,Mature,straight,0.47,,,,,,,,,,,0.47,0.55,550,10.2,0.149605647,6.250259235,2.93762184
B116,1530.37,POINT (37.017317 -1.091151),279372.4602,9879322.168,Grevillea robusta,silk oak,Mature,Forked,0.61,0.36,0.49,,,,,,,,,0.86127812,0.61,610,10.8,0.27415334,23.84946849,11.20925019
B117,1530.741,POINT (37.016997 -1.091955),279336.8958,9879233.224,Vachelia farnesiana,Sweet Acacia,Mature,straight,0.65,,,,,,,,,,,0.65,0.77,770,12.9,0.206901426,20.55571717,9.661187069
B118,1537.808,POINT (37.017041 -1.092423),279341.8281,9879181.468,Coccoloba uvifera,sea grape,Mature,straight,1.53,,,,,,,,,,,1.53,0.56,560,10.7,0.487014126,66.74258311,31.36901406
B119,1538.134,POINT (37.01629 -1.092653),279258.2421,9879155.975,Grevillea robusta,silk oak,Mature,straight,0.41,,,,,,,,,,,0.41,0.61,610,8.6,0.130507053,4.484166707,2.107558352
B120,1538.541,POINT (37.015784 -1.092692),279201.916,9879151.625,Callistemon citrinus,crimson bottlebrush,Mature,Forked,0.14,0.19,0.16,,,,,,,,,0.285131549,0.65,650,7.4,0.090760191,2.027669766,0.95300479
B121,1543.707,POINT (37.016861 -1.09392),279321.8995,9879015.891,Spathodea camfanulata,African tulip tree,Mature,Forked,0.29,0.33,,,,,,,,,,0.439317653,0.42,420,9.3,0.139839152,3.847776651,1.808455026
B122,1543.403,POINT (37.016416 -1.093933),279272.3622,9879014.42,Spathodea camfanulata,African tulip tree,Mature,straight,0.4,,,,,,,,,,,0.4,0.42,420,8.8,0.127323954,3.036006883,1.426923235
B124,1533.051,POINT (37.015194 -1.093679),279136.3082,9879042.422,Vachelia farnesiana,Sweet Acacia,Mature,straight,1.4,,,,,,,,,,,1.4,0.77,770,22.6,0.445633841,158.8700262,74.6689123
B125,1530.204,POINT (37.014457 -1.093965),279054.2848,9879010.737,Prunus arneniaca,Apricot,Mature,Forked,0.16,,,,,,,,,,,0.16,0.6,600,16.4,0.050929582,1.320020519,0.620409644
B127,1529.811,POINT (37.013112 -1.093965),278904.5566,9879010.638,Jacaranda mimosofolia,Blue Jacaranda,Mature,Multi-stemmed,0.54,0.5,0.41,0.44,0.32,0.19,,,,,,1.020686044,0.55,550,6.6,0.324894458,18.56956156,8.727693934
B128,1527.106,POINT (37.012759 -1.093647),278865.2366,9879045.782,Dracaona cochinchinesis,dragon blood,Mature,Forked,0.5,0.6,,,,,,,,,,0.781024968,0.61,610,8.3,0.248607969,15.23909983,7.16237692
B129,1524.245,POINT (37.012114 -1.094011),278793.4604,9879005.477,Corymbia citriodora,Lemon-scented gum,Mature,straight,1.48,,,,,,,,,,,1.48,0.756,756,31,0.471098632,236.7731278,111.2833701
B130,1530.612,POINT (37.011634 -1.093614),278739.9966,9879049.348,Corymbia citriodora,Lemon-scented gum,Mature,straight,1.79,,,,,,,,,,,1.79,0.756,756,28.3,0.569774696,313.9967883,147.5784905
B131,1526.701,POINT (37.010791 -1.092819),278646.0937,9879137.211,Populus tremuloidas,Aspen,Mature,straight,1.9,,,,,,,,,,,1.9,0.39,390,33.1,0.604788784,215.4435339,101.2584609
B132,1531.92,POINT (37.010682 -1.093751),278634.0279,9879034.126,Ficus benghalensis,Indian banyan,Mature,straight,2.17,,,,,,,,,,,2.17,0.6,600,10.2,0.690732453,134.7764599,63.34493616
B133,1534.921,POINT (37.010893 -1.09394),278657.5307,9879013.239,Ficus benghalensis,Indian banyan,Mature,Forked,0.9,0.83,,,,,,,,,,1.224295716,0.6,600,9.61,0.38970543,41.60475979,19.5542371
B134,1529.641,POINT (37.009965 -1.093548),278554.1949,9879056.525,Populus tremuloidas,Aspen,Mature,straight,1.95,,,,,,,,,,,1.95,0.39,390,27.8,0.620704278,191.156731,89.84366357
B135,1531.827,POINT (37.011018 -1.094419),278671.4812,9878960.272,Populus alba,white poplar,Mature,straight,1.03,,,,,,,,,,,1.03,0.4,400,10,0.327859183,20.77992956,9.766566895
B136,1525.284,POINT (37.010885 -1.095184),278656.7314,9878875.655,Caesuarina equisetifolia,Beach Sheoak,Mature,straight,1.27,,,,,,,,,,,1.27,0.83,830,14.5,0.404253555,91.6464205,43.07381764
B137,1525.071,POINT (37.011399 -1.095832),278713.9986,9878804.026,Callistemon citrinus,crimson bottlebrush,Mature,straight,1.44,,,,,,,,,,,1.44,0.65,650,10.2,0.458366236,65.44794949,30.76053626
B138,1525.327,POINT (37.01173 -1.0967),278750.91,9878708.052,Caesuarina equisetifolia,Beach Sheoak,Mature,straight,1.67,,,,,,,,,,,1.67,0.83,830,16.7,0.53157751,179.5185378,84.37371276
B139,1531.106,POINT (37.01228 -1.096521),278812.1241,9878727.889,Terminalia catappa,Sea Almond,Mature,straight,1.14,,,,,,,,,,,1.14,0.8,800,8.8,0.36287327,43.98295873,20.6719906
B140,1524.663,POINT (37.011734 -1.095796),278751.2889,9878808.032,Robinia pseudoacacia,Black Locust,Mature,straight,1.17,,,,,,,,,,,1.17,0.711,711,12.8,0.372422567,59.44779074,27.94046165
B142,1530.303,POINT (37.011688 -1.094637),278746.0831,9878936.211,Populus alba,white poplar,Mature,Forked,0.94,0.68,0.66,,,,,,,,,1.334765897,0.4,400,16.4,0.424869181,55.85527099,26.25197736
B143,1535.177,POINT (37.012883 -1.0957),278879.191,9878818.734,Cascabella thevetia,Yellow Oleander,Mature,straight,1.36,,,,,,,,,,,1.36,0.5,500,11,0.432901445,48.77948267,22.92635685
B144,1534.582,POINT (37.013138 -1.095325),278907.5506,9878860.227,Ailanthus altissima,tree-of-heaven,Mature,straight,1.89,,,,,,,,,,,1.89,0.45,450,20.4,0.601605685,152.8843936,71.85566502
B146,1528.854,POINT (37.01312 -1.094474),278905.4845,9878954.344,Mangifera indica,Indian mango,Mature,Forked,0.78,0.5,0.8,0.82,,,,,,,,1.473363499,0.66,660,8.7,0.468986168,59.47875455,27.95501464
B147,1527.796,POINT (37.013421 -1.094626),278939.0036,9878937.556,Gleditsia triacanthos,honey locust,Mature,Forked,0.93,0.94,1.14,,,,,,,,,1.745880866,0.64,640,9.8,0.55573114,90.29341335,42.43790427
B145,1529.691,POINT (37.013551 -1.094336),278953.4542,9878969.638,Fraxinus undei,Tropical Ash,Young,Forked,0.65,0.33,0.26,,,,,,,,,0.773950903,0.6,600,4.3,0.246356224,7.753265727,3.644034892
B148,1528.998,POINT (37.013525 -1.09494),278950.6041,9878902.836,Tabebuia rosea,Pink poui,Young,Forked,0.4,0.23,,,,,,,,,,0.46141088,0.77,770,4.6,0.146871645,3.848941369,1.809002444
B149,1528.42,POINT (37.013499 -1.095446),278947.7468,9878846.872,Castanospermum australe,Blackbean,Young,straight,0.42,,,,,,,,,,,0.42,0.76,760,3.6,0.133690152,2.48990729,1.170256426
B150,1526.827,POINT (37.013293 -1.09582),278924.8419,9878805.493,Schinus molle,Peruvian Pepper Tree,Mature,straight,0.61,,,,,,,,,,,0.61,0.68,680,10,0.194169031,12.54491708,5.896111027
B151,1537.906,POINT (37.010116 -1.094282),278571.0584,9878975.357,Acacia dealbata,Silver wattle,Mature,Forked,2.14,1.87,,,,,,,,,,2.841918366,0.65,650,19.2,0.904610712,457.4362025,214.9950152
B152,1530.566,POINT (37.009897 -1.094889),278546.7234,9878908.208,Acacia dealbata,Silver wattle,Mature,straight,0.64,,,,,,,,,,,0.64,0.65,650,12.3,0.203718327,16.13575867,7.583806574
B153,1528.988,POINT (37.009294 -1.095153),278479.6154,9878878.966,Acacia dealbata,Silver wattle,Mature,straight,0.54,,,,,,,,,,,0.54,0.65,650,6.4,0.171887339,6.121290191,2.87700639
B154,1527.779,POINT (37.008798 -1.094539),278424.3544,9878946.836,Vachelia farnesiana,Sweet Acacia,Mature,straight,0.84,,,,,,,,,,,0.84,0.77,770,10.6,0.267380304,27.99509166,13.15769308
B155,1525.217,POINT (37.008813 -1.093739),278425.9655,9879035.315,Vachelia farnesiana,Sweet Acacia,Mature,straight,0.63,,,,,,,,,,,0.63,0.77,770,9.2,0.200535228,13.90464403,6.535182692
B157,1528.661,POINT (37.0137 -1.095118),278970.0985,9878883.162,Ficus carica,common fig,Mature,Forked,0.47,0.57,,,,,,,,,,0.738782783,0.57,570,10,0.235161863,15.34807244,7.213594048
B158,1528.866,POINT (37.013882 -1.095448),278990.3833,9878846.679,Cupressus macrocarpa,Monterey Cypress,Mature,straight,0.74,,,,,,,,,,,0.74,0.41,410,12.7,0.235549316,14.09629727,6.625259719
B159,1526.48,POINT (37.014301 -1.095461),279037.0282,9878845.272,Melia azerdarach,China Berry,Mature,Forked,0.39,0.52,,,,,,,,,,0.65,0.48,480,5.9,0.206901426,6.039835905,2.838722875
B160,1527.687,POINT (37.014511 -1.095248),279060.3902,9878868.845,Macadamia integrifolia,Macadamia Tree,Mature,straight,0.72,,,,,,,,,,,0.72,0.5,500,12,0.229183118,15.3448946,7.21210046
B161,1529.514,POINT (37.014929 -1.09494),279106.9002,9878902.939,Cupressus lusitanica,cedar of Goa,Mature,straight,1.89,,,,,,,,,,,1.89,0.47,470,24,0.601605685,186.9314521,87.85778247
B162,1527.717,POINT (37.015084 -1.094612),279124.1311,9878939.227,Tecoma stans,yellow trumpet flower,Mature,straight,0.6,,,,,,,,,,,0.6,0.52,520,15.3,0.190985932,14.1580877,6.654301221
B163,1531.607,POINT (37.015727 -1.094366),279195.6931,9878966.481,Caesuarina equisetifolia,Beach Sheoak,Mature,straight,0.55,,,,,,,,,,,0.55,0.83,830,12.7,0.175070437,15.72156857,7.389137227
B164,1526.91,POINT (37.015461 -1.095122),279166.1368,9878882.85,Caesuarina equisetifolia,Beach Sheoak,Mature,straight,1.45,,,,,,,,,,,1.45,0.83,830,20.5,0.461549335,166.4399526,78.22677771
B165,1531.609,POINT (37.015909 -1.094997),279215.9999,9878896.707,Caesuarina equisetifolia,Beach Sheoak,Mature,straight,0.24,,,,,,,,,,,0.24,0.83,830,6.6,0.076394373,1.644533418,0.772930706
B166,1534.349,POINT (37.016175 -1.095243),279245.6295,9878869.52,Caesuarina equisetifolia,Beach Sheoak,Mature,straight,0.89,,,,,,,,,,,0.89,0.83,830,14,0.283295799,44.24108111,20.79330812
B167,1532.084,POINT (37.015857 -1.095393),279210.2401,9878852.907,Gleditsia triacanthos,honey locust,Mature,Forked,1.25,1.89,2.19,,,,,,,,,3.151301319,0.6,600,22.8,1.003090364,612.1355937,287.703729
B168,1533.04,POINT (37.016326 -1.095847),279262.4834,9878802.731,Coiba speciosa,Floss silk tree,Mature,straight,1.26,,,,,,,,,,,1.26,0.58,580,9,0.401070457,39.93419849,18.76907329
B169,1531.281,POINT (37.016043 -1.095722),279230.9701,9878816.534,Grevillea robusta,silk oak,Mature,straight,1.72,,,,,,,,,,,1.72,0.61,610,22.4,0.547493004,187.5213709,88.13504431
B170,1534.75,POINT (37.01625 -1.096252),279254.0526,9878757.933,Coccoloba uvifera,sea grape,Mature,straight,2.95,,,,,,,,,,,2.95,0.56,560,12.5,0.939014164,279.8230709,131.5168433
B171,,POINT (37.016245 -1.096244),279253.4954,9878758.818,Ipomoea carnea,Bush Morning Glory,Mature,Forked,0.51,0.86,,,,,,,,,,0.999849989,0.5,500,5.2,0.318262136,12.87840454,6.052850134
B172,1586.628,POINT (37.016414 -1.096595),279272.3345,9878720.011,Spathodea camfanulata,African tulip tree,Mature,straight,0.45,,,,,,,,,,,0.45,0.42,420,10.9,0.143239449,4.708316553,2.21290878
B173,1534.305,POINT (37.017558 -1.096361),279399.6695,9878745.975,Larix decidua,European larch,Mature,Forked,0.61,0.44,,,,,,,,,,0.752130308,0.51,510,7.4,0.239410513,10.6281584,4.995234446
B174,1538.102,POINT (37.017589 -1.095999),279403.094,9878786.013,Grevillea robusta,silk oak,Mature,straight,1.07,,,,,,,,,,,1.07,0.61,610,19.1,0.340591578,63.54814463,29.86762798
B175,1534.395,POINT (37.017721 -1.096047),279417.7919,9878780.714,Grevillea robusta,silk oak,Mature,straight,0.4,,,,,,,,,,,0.4,0.61,610,10.6,0.127323954,5.240549165,2.463058108
B176,1532.4,POINT (37.017447 -1.095623),279387.2587,9878827.587,Phoenix dactylifera,Date Palm,Mature,straight,0.56,,,,,,,,,,,0.56,0.53,530,9.5,0.178253536,7.91753098,3.72123956
B177,1536.231,POINT (37.017975 -1.095643),279446.0381,9878825.414,Corymbia citriodora,Lemon-scented gum,Mature,straight,1.22,,,,,,,,,,,1.22,0.756,756,26.1,0.388338061,137.2865695,64.52468767
B178,1531.495,POINT (37.01803 -1.095348),279452.1392,9878858.044,Fraxinus undei,Tropical Ash,Mature,straight,1.13,,,,,,,,,,,1.13,0.6,600,15.2,0.359690171,55.65950496,26.15996733
